(Do Not Modify) Opportunity,(Do Not Modify) Row Checksum,(Do Not Modify) Modified On,Account,Topic,Estimated signature date,Current BPF Status,Owner,Annual Margin,Total Service Amount,Primary Pillar,Are we shortlisted?,License SaaS ARR,Current BPF Advance Date,Pillar Must Win
337a37c7-5e8f-408c-aefb-3e79fdd5f935,Lqsj/SJqT6IMIaVdAJQKrLvux7a29RL+OEeptr12Xg8tlTV5Klu4R0MJHuvGwCu9r1kYB/t3sk7HW5ERCYUQCQ==,7/12/2025 23:17,Thales Cyber (prev. Tesserent Cyber),Thales: ​​CR03 Project Profitability Phase II Design Workshops​,28/2/2026,Solutioning,Karen Linehan,0.00,100000.00,NetSuite,,0.00,13/11/2025 16:12,
ec94a8b5-ee70-4911-a1da-4d8db9e61645,FjZhG1oliXZkYZq4F3xYS+YjRPJDEuVDWtHJrmoZzXXKSbBeYapLmug8WU/D4U6cqER7qbVOlW9wc6dhlpPMLg==,12/1/2026 3:35,Vicon Transfers/Velflex,Velflex - SCA Enhancements Phase 1,28/2/2026,Solutioning,Karen Linehan,0.00,10000.00,NetSuite,,0.00,4/12/2025 14:23,No
8cb9be57-2d10-4bca-b901-4eab2714384c,fO5B74LpqcwkGJvBem0LMN1j3Goafk3EF25tbRKLXKzOf939GOWxPPyABsdZL44Up1rH2ZEomu6Q9SRq5iKZsA==,8/11/2025 4:59,BB2 Holdings Pty Ltd T/AS Steeline FNW,Steeline Workday FP & A,28/2/2026,Qualification,Karin Prinsloo,0.00,0.00,CPM,,0.00,7/11/2025 20:17,
8c3ac00d-fb22-4fbf-8ac2-55bb830cefae,FhSfGaxeq/fDdl9qWAkmcXooSVlqRvOQbKgr9JWKbc6UgZp/MAgnGkNZZkQb5pAgUBLmbyDhhlhIZwDC3iyU+g==,22/10/2025 7:07,Nak Hair,ODBC Data Integration,28/2/2026,Qualification,Karin Prinsloo,0.00,30000.00,i2,,0.00,1/8/2025 13:33,
008dd06f-7229-44ae-8df2-582d17c87c66,5BKOLRH4kndrdETGD6DTjDnP19jMdy/8RWkCEIdZ2bPMMZlEjQykSsUVdZTOsb+xsXhomJzijIiZt4qVr8yo0Q==,13/1/2026 23:59,Tibaldi (Aust),Tibaldi: WO51212 - Design UOM Change,28/2/2026,Solutioning,Karen Linehan,0.00,10000.00,NetSuite,,0.00,14/1/2026 9:58,No
c87fc17e-6b55-4ec8-a20b-5e537e438855,ph634mMh95H1/wubVbGF9c1ysGfNL52CvZYY2uDGJgvTDTzznPiIk9oP3VpZKVdun/joSUbVs1z7ln38Siig6g==,21/11/2025 2:30,Southern Cross Electrical Engineering (SCEE),SCEE JDE AI Engagement,28/2/2026,Solutioning,Karin Prinsloo,0.00,30000.00,ERP,,0.00,24/10/2025 16:39,
710760a1-21a1-40ea-a0fa-7bab19e3912d,wtwBPnrIdXDqf89Mw1nioKXEq5hshZQjL5kB8eQn5yIFHB5Q9fMGlSjWeGmzNbmxAvEeloJeElvso0JgfQKWew==,22/1/2026 5:09,RODE,RODE - Workday Adaptive Planning,28/2/2026,Contracting,Neville Ray,26000.00,88000.00,CPM,Yes,65000.00,20/1/2026 10:17,No
b3d1d746-3285-4354-a9f5-97d999024e8e,H7K4+FtSfphnX/SPXfk8B2P/+upVi5uWPH8Mg0Vssxe53Tr5Q1RV7+KTfsrJwS4LxiLfVNviKaCrOsdicogI+Q==,20/1/2026 22:16,Altus Financial,F5 Project Timesheet UI,28/2/2026,Contracting,Justin Petrovic,5000.00,7000.00,NetSuite,,5000.00,10/12/2025 12:37,No
ee4cb31b-687f-4e06-951c-9818e139f438,ScZLhac+W3tsO/jjXw5JgnUv7PNrOtnhr+rfjPUOXgWeHBNVLBo+8ZaXmWXJBL8dGBT+nEmvTlaUe/xtXWIpRA==,21/1/2026 22:27,BHP,CDM Renewal,28/2/2026,Contracting,Neville Ray,36105.34,0.00,CPM,,120351.14,20/1/2026 10:13,
01c63bf9-305e-4849-98ae-a35fd5f24a7e,FmcKkSyNgq4DXbX/aTIIK+nmFB4hEoI+/0FXB0e29oRBJkgYNWduY6np7XgZgu7l2E9g4xMFBkdQy1JAJDw7pQ==,23/10/2025 5:25,Symbos Australia Holdings (Recoveries Corp) (F5AU),Workday Adaptive/Pronto Integration,28/2/2026,Solutioning,Justin Petrovic,0.00,20000.00,i2,,0.00,23/10/2025 15:24,
2ec45ca6-5ae4-43dc-acc1-e4055a33a9e5,RRNwMxDnWgGmzlxb+F4ZQgSn1Ibm0Vp7e5/kgvYukFkH0ZzibpyjH6DL1lg7P+iIscIWclzRY30xQhIXpcwJvg==,14/11/2025 5:00,OARS Community Transitions (F5AU),OARS: Excel Reporting Tools,28/2/2026,Qualification,Karen Linehan,0.00,0.00,NetSuite,,0.00,13/11/2025 16:21,
db7392dd-872a-4385-905d-e5b1258aaaef,G0TABBEcOZcsd/7ahtrwsNZaEhC6nMJFRoyEl8fL+7pF8xPqgZ4JKD5be6AaBAo6HmAJtrgi4Vkwlvx90eOnTw==,16/12/2025 3:29,DZG investments,PartnerPlus,28/2/2026,Contracting,Justin Petrovic,0.00,23400.00,NetSuite,,0.00,23/11/2025 19:58,
1e840dcc-9a72-44c0-b39d-eb3318129316,3QEkHPytj0ILHGNHIGIGXJBlbhxPcdsldNN9x9lYUvXvXDDmLT2T0yLLNKCS3f3F9gXFKox0fh6/G9GtXGU6ig==,20/1/2026 2:58,Space Logic,NetSuite Health Check,28/2/2026,Contracting,Justin Petrovic,0.00,10840.00,NetSuite,,0.00,16/1/2026 8:48,No
66e99b78-89d5-467e-887e-eef33c67649c,VBst4QK7SvEjImW5etRYje+67Sf8rZ0xZdZjyH8h0Wr9iBt88eak6rlQWwskdTOoC20AM7V52Ko+dd7KS/Tu+w==,20/1/2026 19:51,a.k.a Brands (F5AU),AKA Brands Partner Plus,28/2/2026,Solutioning,Karin Prinsloo,0.00,87840.00,NetSuite,,0.00,9/12/2025 17:07,No
95bb8873-84be-438d-b426-904621716b29,mJHPuEu8DyB1k8COQ9Wa3vMPBLxY2eBmlQpLirLp8uNG0dDIB5DOyu3vLvivjq1/eC29iApIEW9sQgM76PdoLg==,22/1/2026 3:16,Anson Resources,AR: NetSuite Suite Analytics Connect,27/3/2026,Qualification,Karen Linehan,0.00,0.00,NetSuite,,0.00,13/11/2025 13:02,
5280d54f-d918-4ae9-82ac-ca8386492307,vlgetI232QajEgeNm1x2lYKFb+1rwSUVJU4hCFlxfYmN70w3QQ35VYCLxapn6NOsacpgYpB1leEIqCg89VQ+gw==,7/11/2025 3:02,Toshiba Australia,ESS Users & Payroll Margin,27/3/2026,Solutioning,Justin Petrovic,8500.00,0.00,NetSuite,,17000.00,17/7/2024 15:30,
c90c765d-2b20-4ed6-8f2d-e7ee9a056ae4,661W/05o1r2GWiqqPI4eB3WX9icbMipNw5qI/0Aq/gQVD7Qw5f057XAsZ4veVIYK+VVmkWBb2nv2GyMxeGFpgQ==,14/12/2025 4:15,Chrysos Corporation,Workday Adaptive Planning - Phase 2,27/3/2026,Solutioning,Neville Ray,0.00,17500.00,CPM,,0.00,22/7/2025 15:30,
